China,Confirmed,Deaths,Recovered
0,548,17,28
1,643,18,30
2,920,26,36
3,1406,42,39
4,2075,56,49
5,2877,82,58
6,5509,131,101
7,6087,133,120
8,8141,171,135
9,9802,213,214
10,11891,259,275
11,16630,361,463
12,19716,425,614
13,23707,491,843
14,27440,563,1115
15,30587,633,1477
16,34110,718,1999
17,36814,805,2596
18,39829,905,3219
19,42354,1012,3918
20,44386,1112,4636
21,44759,1117,5082
22,59895,1369,6217
23,66358,1521,7977
24,68413,1663,9298
25,70513,1766,10755
26,72434,1864,12462
27,74211,2003,14206
28,74619,2116,15962
29,75077,2238,18014
30,75550,2238,18704
31,77001,2443,22699
32,77022,2445,23187
33,77241,2595,25015
34,77754,2665,27676
35,78166,2717,30084
36,78600,2746,32930
37,78928,2790,36329
38,79356,2837,39320
39,79932,2872,42162
40,80136,2914,44854
41,80261,2947,47450
42,80386,2983,50001
43,80537,3015,52292
44,80690,3044,53944
45,80770,3072,55539
46,80823,3100,57388
47,80860,3123,58804
48,80887,3139,60181
49,80921,3161,61644
50,80932,3172,62901
51,80945,3180,64196
52,80977,3193,65660
53,81003,3203,67017
54,81033,3217,67910
55,81058,3230,68798
56,81102,3241,69755
57,81156,3249,70535
58,81250,3253,71266
59,81305,3259,71857
60,81435,3274,72362
61,81498,3274,72814
62,81591,3281,73280
63,81661,3285,73773
64,81782,3291,74181
65,81897,3296,74720
66,81999,3299,75100
67,82122,3304,75582
68,82198,3308,75923
69,82279,3309,76206
70,82361,3316,76405
71,82432,3322,76565
72,82511,3326,76760
73,82543,3330,76946
74,82602,3333,77207
75,82665,3335,77310
76,82718,3335,77410
77,82809,3337,77567
78,82883,3339,77679
79,82941,3340,77791
80,83014,3343,77877
81,83134,3343,77956
82,83213,3345,78039
83,83306,3345,78200
84,83356,3346,78311
85,83403,3346,78401
86,83760,4636,77552
87,83787,4636,77614
88,83805,4636,77690
89,83817,4636,77745
90,83853,4636,77799
91,83868,4636,77861
92,83884,4636,77983
93,83899,4636,78109
94,83909,4636,78175
95,83912,4637,78277
96,83918,4637,78374
97,83940,4637,78422
98,83944,4637,78474
99,83956,4637,78523
100,83959,4637,78573
101,83959,4637,78586
102,83964,4637,78684
103,83966,4637,78792
104,83968,4637,78870
105,83970,4637,78929
106,83975,4637,78977
107,83976,4637,78993
108,83990,4637,79127
109,84010,4637,79167
110,84011,4637,79198
111,84018,4637,79222
112,84024,4637,79246
113,84029,4637,79261
114,84038,4637,79281
115,84044,4638,79293
116,84054,4638,79306
117,84063,4638,79310
118,84063,4638,79310
119,84063,4638,79310
120,84063,4638,79310
121,84081,4638,79332
122,84084,4638,79335
123,84095,4638,79343
124,84102,4638,79352
125,84103,4638,79358
126,84106,4638,79367
127,84106,4638,79371
128,84123,4638,79382
129,84128,4638,79386
130,84146,4638,79389
131,84154,4638,79398
132,84161,4638,79400
133,84160,4638,79404
134,84171,4638,79415
135,84177,4638,79420
136,84186,4638,79424
137,84191,4638,79434
138,84195,4638,79444
139,84198,4638,79451
140,84209,4638,79456
141,84216,4638,79464
142,84228,4638,79472
143,84286,4638,79475
144,84335,4638,79482
145,84378,4638,79489
146,84422,4638,79493
147,84458,4638,79510
148,84494,4638,79515
149,84494,4638,79515
150,84553,4639,79534
151,84572,4639,79535
152,84624,4639,79547
153,84653,4640,79555
154,84673,4640,79562
155,84701,4641,79572
156,84725,4641,79580
157,84743,4641,79591
158,84757,4641,79609
159,84780,4641,79619
160,84785,4641,79632
161,84816,4641,79650
162,84830,4641,79665
163,84838,4641,79680
164,84857,4641,79706
165,84871,4641,79718
166,84889,4641,79725
167,84917,4641,79754
168,84950,4641,79802
169,84992,4641,79802
170,84992,4641,79802
171,85071,4641,79876
172,85117,4641,79907
173,85117,4641,79907
174,85226,4642,79967
175,85246,4644,80005
176,85327,4644,80038
177,85402,4645,80064
178,85418,4646,80092
179,85503,4646,80137
180,85622,4646,80162
181,85708,4648,80204
182,85906,4648,80244
183,86045,4649,80297
184,86202,4650,80341
185,86381,4652,80409
186,86570,4652,80459
187,86783,4656,80466
188,86990,4657,80517
189,87213,4658,80594
190,87489,4659,80680
191,87655,4661,80787
192,87827,4667,80907
193,87985,4669,81018
194,88099,4672,81113
195,88206,4676,81234
196,88328,4677,81417
197,88460,4680,81592
198,88580,4681,81788
199,88672,4681,81969
200,88793,4686,82125
201,88906,4689,82247
202,88958,4693,82440
203,89045,4697,82633
204,89144,4700,82804
205,89214,4701,82956
206,89279,4703,83108
207,89375,4703,83200
208,89441,4703,83283
209,89494,4705,83408
210,89527,4706,83566
211,89567,4709,83663
212,89616,4709,83793
213,89654,4711,83924
214,89695,4711,83988
215,89718,4711,84058
216,89752,4712,84168
217,89784,4713,84251
218,89814,4715,84335
219,89836,4718,84419
220,89863,4721,84484
221,89895,4722,84546
222,89914,4723,84594
223,89933,4724,84652
224,89953,4727,84695
225,89986,4728,84737
226,90008,4728,84782
227,90025,4728,84837
228,90058,4730,84873
229,90078,4732,84900
230,90087,4733,84932
231,90100,4733,84957
232,90127,4733,85005
233,90145,4733,85025
234,90168,4734,85054
235,90197,4734,85086
236,90219,4735,85101
237,90235,4736,85129
238,90253,4736,85155
239,90294,4736,85181
240,90311,4737,85204
241,90334,4737,85226
242,90369,4737,85239
243,90381,4737,85257
244,90399,4737,85275
245,90409,4738,85304
246,90424,4738,85323
247,90441,4739,85343
248,90456,4739,85360
249,90483,4739,85381
250,90505,4739,85398
251,90528,4739,85423
252,90545,4739,85460
253,90567,4739,85479
254,90584,4739,85494
255,90604,4739,85511
256,90629,4739,85530
257,90652,4739,85540
258,90667,4739,85566
259,90687,4739,85588
260,90728,4739,85612
261,90751,4739,85641
262,90778,4739,85658
263,90812,4739,85669
264,90830,4739,85690
265,90858,4739,85707
266,90869,4739,85720
267,90905,4739,85743
268,90925,4739,85762
269,90955,4739,85791
270,90972,4739,85819
271,91006,4739,85840
272,91022,4739,85873
273,91044,4739,85899
274,91073,4739,85929
275,91108,4739,85950
276,91128,4739,85974
277,91151,4739,86002
278,91175,4739,86018
279,91222,4739,86031
280,91271,4739,86049
281,91299,4739,86082
282,91339,4739,86111
283,91366,4739,86135
284,91397,4739,86162
285,91452,4739,86189
286,91478,4739,86212
287,91509,4740,86241
288,91552,4741,86264
289,91591,4741,86301
290,91622,4741,86344
291,91665,4741,86369
292,91693,4741,86393
293,91719,4742,86421
294,91752,4742,86451
295,91783,4742,86488
296,91807,4742,86518
297,91828,4742,86543
298,91850,4742,86572
299,91872,4742,86616
300,91885,4742,86667
301,91906,4742,86700
302,91935,4742,86727
303,91977,4742,86751
304,92037,4742,86769
305,92116,4742,86792
306,92211,4742,86816
307,92296,4742,86847
308,92402,4742,86888
309,92488,4742,86900
310,92586,4742,86937
311,92681,4743,86968
312,92814,4743,86998
313,92902,4743,87017
314,92993,4743,87051
315,93113,4744,87101
316,93221,4745,87147
317,93348,4746,87204
318,93467,4746,87259
319,93577,4746,87331
320,93670,4746,87404
321,93782,4746,87483
322,93898,4748,87582
323,94025,4748,87707
324,94124,4748,87815
325,94217,4749,87944
326,94328,4751,88041
327,94427,4754,88122
328,94537,4757,88211
329,94626,4757,88326
330,94734,4759,88429
331,94821,4763,88538
332,94953,4763,88666
333,95050,4764,88781
334,95150,4765,88861
335,95228,4766,88963
336,95298,4767,89104
337,95383,4769,89205
338,95460,4770,89330
339,95541,4770,89423
340,95632,4771,89518
341,95720,4775,89586
342,95797,4777,89697
343,95876,4781,89813
344,95963,4782,89923
345,96023,4782,90031
346,96086,4784,90099
347,96160,4784,90159
348,96246,4787,90213
349,96310,4787,90306
350,96398,4788,90400
351,96484,4788,90478
352,96562,4789,90543
353,96690,4791,90630
354,96824,4792,90697
355,96920,4793,90772
356,97095,4794,90857
357,97275,4796,90953
