Country/Region,index,China,US,United Kingdom
1/22/20,0,548,1,0
1/23/20,1,643,1,0
1/24/20,2,920,2,0
1/25/20,3,1406,2,0
1/26/20,4,2075,5,0
1/27/20,5,2877,5,0
1/28/20,6,5509,5,0
1/29/20,7,6087,6,0
1/30/20,8,8141,6,0
1/31/20,9,9802,8,2
2002/1/20,10,11891,8,2
2002/2/20,11,16630,8,2
2002/3/20,12,19716,11,8
2002/4/20,13,23707,11,8
2002/5/20,14,27440,11,9
2002/6/20,15,30587,12,9
2002/7/20,16,34110,12,9
2002/8/20,17,36814,12,13
2002/9/20,18,39829,12,14
2002/10/20,19,42354,12,14
2002/11/20,20,44386,13,15
2002/12/20,21,44759,13,16
2/13/20,22,59895,14,17
2/14/20,23,66358,14,18
2/15/20,24,68413,14,18
2/16/20,25,70513,14,18
2/17/20,26,72434,14,19
2/18/20,27,74211,14,19
2/19/20,28,74619,14,20
2/20/20,29,75077,14,22
2/21/20,30,75550,16,23
2/22/20,31,77001,16,23
2/23/20,32,77022,16,28
2/24/20,33,77241,16,30
2/25/20,34,77754,16,34
2/26/20,35,78166,16,37
2/27/20,36,78600,17,44
2/28/20,37,78928,17,56
2/29/20,38,79356,25,61
2003/1/20,39,79932,32,94
2003/2/20,40,80136,55,134
2003/3/20,41,80261,74,189
2003/4/20,42,80386,107,246
2003/5/20,43,80537,184,295
2003/6/20,44,80690,237,374
2003/7/20,45,80770,403,429
2003/8/20,46,80823,519,483
2003/9/20,47,80860,594,630
2003/10/20,48,80887,782,889
2003/11/20,49,80921,1147,1301
2003/12/20,50,80932,1586,1790
3/13/20,51,80945,2219,2270
3/14/20,52,80977,2978,2634
3/15/20,53,81003,3212,3077
3/16/20,54,81033,4679,3692
3/17/20,55,81058,6512,4462
3/18/20,56,81102,9169,5467
3/19/20,57,81156,13663,6533
3/20/20,58,81250,20030,7791
3/21/20,59,81305,26025,9006
3/22/20,60,81435,34855,10395
3/23/20,61,81498,46086,12744
3/24/20,62,81591,56698,15126
3/25/20,63,81661,68773,17843
3/26/20,64,81782,86613,20970
3/27/20,65,81897,105293,24219
3/28/20,66,81999,124900,27062
3/29/20,67,82122,143779,29954
3/30/20,68,82198,165861,34281
3/31/20,69,82279,192177,38815
2004/1/20,70,82361,224418,43789
2004/2/20,71,82432,256636,48718
2004/3/20,72,82511,288906,53699
2004/4/20,73,82543,321318,57772
2004/5/20,74,82602,351203,61422
2004/6/20,75,82665,382613,66738
2004/7/20,76,82718,413382,72224
2004/8/20,77,82809,444580,77387
2004/9/20,78,82883,480534,82293
2004/10/20,79,82941,514942,86660
2004/11/20,80,83014,544119,90273
2004/12/20,81,83134,571400,93812
4/13/20,82,83213,598310,98017
4/14/20,83,83306,627082,102365
4/15/20,84,83356,652513,107465
4/16/20,85,83403,682548,112808
