Country/Region,index,China,US,United Kingdom
1/22/20,0,17,0,0
1/23/20,1,18,0,0
1/24/20,2,26,0,0
1/25/20,3,42,0,0
1/26/20,4,56,0,0
1/27/20,5,82,0,0
1/28/20,6,131,0,0
1/29/20,7,133,0,0
1/30/20,8,171,0,0
1/31/20,9,213,0,0
2002/1/20,10,259,0,0
2002/2/20,11,361,0,0
2002/3/20,12,425,0,0
2002/4/20,13,491,0,0
2002/5/20,14,563,0,0
2002/6/20,15,633,0,0
2002/7/20,16,718,0,0
2002/8/20,17,805,0,0
2002/9/20,18,905,0,0
2002/10/20,19,1012,0,0
2002/11/20,20,1112,0,0
2002/12/20,21,1117,0,0
2/13/20,22,1369,0,0
2/14/20,23,1521,0,0
2/15/20,24,1663,0,0
2/16/20,25,1766,0,0
2/17/20,26,1864,0,0
2/18/20,27,2003,0,0
2/19/20,28,2116,0,0
2/20/20,29,2238,0,0
2/21/20,30,2238,0,0
2/22/20,31,2443,0,0
2/23/20,32,2445,0,0
2/24/20,33,2595,0,0
2/25/20,34,2665,0,0
2/26/20,35,2717,0,0
2/27/20,36,2746,0,0
2/28/20,37,2790,0,0
2/29/20,38,2837,1,0
2003/1/20,39,2872,1,0
2003/2/20,40,2914,6,0
2003/3/20,41,2947,7,0
2003/4/20,42,2983,11,0
2003/5/20,43,3015,12,0
2003/6/20,44,3044,14,1
2003/7/20,45,3072,17,2
2003/8/20,46,3100,21,2
2003/9/20,47,3123,22,3
2003/10/20,48,3139,28,7
2003/11/20,49,3161,33,7
2003/12/20,50,3172,43,9
3/13/20,51,3180,51,10
3/14/20,52,3193,58,29
3/15/20,53,3203,70,43
3/16/20,54,3217,97,66
3/17/20,55,3230,133,83
3/18/20,56,3241,192,117
3/19/20,57,3249,264,163
3/20/20,58,3253,367,195
3/21/20,59,3259,466,253
3/22/20,60,3274,576,289
3/23/20,61,3274,763,365
3/24/20,62,3281,1004,513
3/25/20,63,3285,1330,704
3/26/20,64,3291,1742,886
3/27/20,65,3296,2263,1174
3/28/20,66,3299,2898,1466
3/29/20,67,3304,3490,1679
3/30/20,68,3308,4187,2053
3/31/20,69,3309,5278,2457
2004/1/20,70,3316,6539,3130
2004/2/20,71,3322,8035,3787
2004/3/20,72,3326,9442,4524
2004/4/20,73,3330,10989,5281
2004/5/20,74,3333,12570,5882
2004/6/20,75,3335,14326,6452
2004/7/20,76,3335,16900,7557
2004/8/20,77,3337,19043,8589
2004/9/20,78,3339,21249,9706
2004/10/20,79,3340,23467,10829
2004/11/20,80,3343,25599,11673
2004/12/20,81,3343,27419,12330
4/13/20,82,3345,29381,13055
4/14/20,83,3345,31824,14135
4/15/20,84,3346,34422,15019
4/16/20,85,3346,36582,16059
4/17/20,86,4636,38673,16973
4/18/20,87,4636,40646,18081
4/19/20,88,4636,42584,18514
4/20/20,89,4636,44780,19090
4/21/20,90,4636,47318,20314
4/22/20,91,4636,49746,21171
4/23/20,92,4636,52202,21855
4/24/20,93,4636,54362,22873
4/25/20,94,4636,56068,23689
4/26/20,95,4637,57418,24053
4/27/20,96,4637,58882,24376
4/28/20,97,4637,61106,25347
4/29/20,98,4637,63625,26118
4/30/20,99,4637,66028,26754
2005/1/20,100,4637,67916,27454
2005/2/20,101,4637,69621,28039
2005/3/20,102,4637,70739,28292
2005/4/20,103,4637,72063,28565
2005/5/20,104,4637,74350,29290
2005/6/20,105,4637,76699,29937
2005/7/20,106,4637,78618,30395
2005/8/20,107,4637,80367,30975
2005/9/20,108,4637,81899,31250
2005/10/20,109,4637,82810,31467
