date,index,China,US,United Kingdom
1/22/20,0,28,0,0
1/23/20,1,30,0,0
1/24/20,2,36,0,0
1/25/20,3,39,0,0
1/26/20,4,49,0,0
1/27/20,5,58,0,0
1/28/20,6,101,0,0
1/29/20,7,120,0,0
1/30/20,8,135,0,0
1/31/20,9,214,0,0
2002/1/20,10,275,0,0
2002/2/20,11,463,0,0
2002/3/20,12,614,0,0
2002/4/20,13,843,0,0
2002/5/20,14,1115,0,0
2002/6/20,15,1477,0,0
2002/7/20,16,1999,0,0
2002/8/20,17,2596,0,0
2002/9/20,18,3219,3,0
2002/10/20,19,3918,3,0
2002/11/20,20,4636,3,0
2002/12/20,21,5082,3,1
2/13/20,22,6217,3,1
2/14/20,23,7977,3,1
2/15/20,24,9298,3,1
2/16/20,25,10755,3,8
2/17/20,26,12462,3,8
2/18/20,27,14206,3,8
2/19/20,28,15962,3,8
2/20/20,29,18014,3,8
2/21/20,30,18704,5,8
2/22/20,31,22699,5,8
2/23/20,32,23187,5,8
2/24/20,33,25015,5,8
2/25/20,34,27676,6,8
2/26/20,35,30084,6,8
2/27/20,36,32930,6,8
2/28/20,37,36329,7,8
2/29/20,38,39320,7,8
2003/1/20,39,42162,7,8
2003/2/20,40,44854,7,8
2003/3/20,41,47450,7,8
2003/4/20,42,50001,7,8
2003/5/20,43,52292,7,8
2003/6/20,44,53944,7,8
2003/7/20,45,55539,7,18
2003/8/20,46,57388,7,18
2003/9/20,47,58804,7,18
2003/10/20,48,60181,8,19
2003/11/20,49,61644,8,19
2003/12/20,50,62901,12,19
3/13/20,51,64196,12,19
3/14/20,52,65660,12,19
3/15/20,53,67017,12,19
3/16/20,54,67910,17,21
3/17/20,55,68798,17,53
3/18/20,56,69755,105,67
3/19/20,57,70535,121,67
3/20/20,58,71266,147,67
3/21/20,59,71857,176,67
3/22/20,60,72362,178,67
3/23/20,61,72814,178,67
3/24/20,62,73280,348,140
3/25/20,63,73773,361,140
3/26/20,64,74181,681,150
3/27/20,65,74720,869,151
3/28/20,66,75100,1072,151
3/29/20,67,75582,2665,151
3/30/20,68,75923,5644,171
3/31/20,69,76206,7024,179
2004/1/20,70,76405,8474,179
2004/2/20,71,76565,9001,192
2004/3/20,72,76760,9707,208
2004/4/20,73,76946,14652,215
2004/5/20,74,77207,17448,229
2004/6/20,75,77310,19581,287
2004/7/20,76,77410,21763,325
2004/8/20,77,77567,23559,345
2004/9/20,78,77679,25410,359
2004/10/20,79,77791,28790,588
2004/11/20,80,77877,31270,622
2004/12/20,81,77956,32988,626
4/13/20,82,78039,43482,304
4/14/20,83,78200,47763,323
4/15/20,84,78311,52096,368
4/16/20,85,78401,54703,375
4/17/20,86,77552,58545,394
4/18/20,87,77614,64840,414
4/19/20,88,77690,70337,436
4/20/20,89,77745,72329,446
4/21/20,90,77799,75204,638
4/22/20,91,77861,77366,683
4/23/20,92,77983,80203,712
4/24/20,93,78109,99079,724
4/25/20,94,78175,100372,774
4/26/20,95,78277,106988,778
4/27/20,96,78374,111424,807
4/28/20,97,78422,115936,813
4/29/20,98,78474,120720,857
4/30/20,99,78523,153947,859
2005/1/20,100,78573,164015,892
2005/2/20,101,78586,175382,896
2005/3/20,102,78684,180152,901
2005/4/20,103,78792,187180,910
2005/5/20,104,78870,189791,926
2005/6/20,105,78929,189910,934
2005/7/20,106,78977,195036,970
2005/8/20,107,78993,198993,997
2005/9/20,108,79127,212534,1001
2005/10/20,109,79167,216169,1002
2005/11/20,110,79198,232733,1015
2005/12/20,111,79222,230287,1023
5/13/20,112,79246,243430,1032
5/14/20,113,79261,246414,1043
5/15/20,114,79281,250747,1047
5/16/20,115,79293,268376,1058
5/17/20,116,79306,272265,1058
5/18/20,117,79310,283178,1090
5/19/20,118,79310,289392,1099
5/20/20,119,79310,294312,1116
5/21/20,120,79310,298418,1134
5/22/20,121,79332,350135,1142
5/23/20,122,79335,361239,1149
5/24/20,123,79343,366736,1151
5/25/20,124,79352,379157,1161
5/26/20,125,79358,384902,1161
5/27/20,126,79367,391508,1166
5/28/20,127,79371,399991,1167
5/29/20,128,79382,406446,1172
5/30/20,129,79386,416461,1187
5/31/20,130,79389,444758,1190
2006/1/20,131,79398,458231,1221
2006/2/20,132,79400,463868,1224
2006/3/20,133,79404,479258,1212
2006/4/20,134,79415,485002,1219
2006/5/20,135,79420,491706,1228
2006/6/20,136,79424,500849,1230
2006/7/20,137,79434,506367,1239
2006/8/20,138,79444,518522,1255
2006/9/20,139,79451,524855,1257
2006/10/20,140,79456,533504,1269
2006/11/20,141,79464,540292,1278
2006/12/20,142,79472,547386,1282
6/13/20,143,79475,556606,1283
6/14/20,144,79482,561816,1283
6/15/20,145,79489,576334,1284
6/16/20,146,79493,583503,1293
6/17/20,147,79510,592191,1304
6/18/20,148,79515,599115,1313
6/19/20,149,79515,606715,1319
6/20/20,150,79534,617460,1319
6/21/20,151,79535,622133,1319
6/22/20,152,79547,640198,1322
6/23/20,153,79555,647548,1330
6/24/20,154,79562,656161,1345
6/25/20,155,79572,663562,1361
6/26/20,156,79580,670809,1363
6/27/20,157,79591,679308,1364
6/28/20,158,79609,685164,1364
6/29/20,159,79619,705203,1368
6/30/20,160,79632,720631,1370
2007/1/20,161,79650,729994,1372
2007/2/20,162,79665,781970,1373
2007/3/20,163,79680,790404,1375
2007/4/20,164,79706,894325,1375
2007/5/20,165,79718,906763,1375
2007/6/20,166,79725,924148,1375
2007/7/20,167,79754,936476,1375
2007/8/20,168,79802,953462,1378
2007/9/20,169,79802,969111,1378
2007/10/20,170,79802,983185,1378
2007/11/20,171,79876,995576,1378
2007/12/20,172,79907,1006326,1378
7/13/20,173,79907,1031939,1384
7/14/20,174,79967,1049098,1385
7/15/20,175,80005,1075882,1386
7/16/20,176,80038,1090645,1403
7/17/20,177,80064,1107204,1403
7/18/20,178,80092,1122720,1413
7/19/20,179,80137,1131121,1413
7/20/20,180,80162,1160087,1413
7/21/20,181,80204,1182018,1414
7/22/20,182,80244,1210849,1416
7/23/20,183,80297,1233269,1425
7/24/20,184,80341,1261624,1425
7/25/20,185,80409,1279414,1427
7/26/20,186,80459,1297863,1434
7/27/20,187,80466,1325804,1437
7/28/20,188,80517,1355363,1438
7/29/20,189,80594,1389425,1438
7/30/20,190,80680,1414155,1438
7/31/20,191,80787,1438160,1439
2008/1/20,192,80907,1461885,1441
2008/2/20,193,81018,1468689,1444
2008/3/20,194,81113,1513446,1445
2008/4/20,195,81234,1528979,1445
2008/5/20,196,81417,1577851,1446
2008/6/20,197,81592,1598624,1447
2008/7/20,198,81788,1623870,1447
2008/8/20,199,81969,1643118,1449
2008/9/20,200,82125,1656864,1451
2008/10/20,201,82247,1670755,1463
2008/11/20,202,82440,1714960,1464
2008/12/20,203,82633,1753760,1472
8/13/20,204,82804,1774648,1479
8/14/20,205,82956,1796326,1481
8/15/20,206,83108,1818527,1486
8/16/20,207,83200,1833067,1486
8/17/20,208,83283,1865580,1490
8/18/20,209,83408,1898159,1493
8/19/20,210,83566,1925049,1495
8/20/20,211,83663,1947035,1544
8/21/20,212,83793,1965056,1544
8/22/20,213,83924,1985484,1547
8/23/20,214,83988,1997761,1547
8/24/20,215,84058,2020774,1550
8/25/20,216,84168,2053699,1551
8/26/20,217,84251,2084465,1551
8/27/20,218,84335,2101326,1564
8/28/20,219,84419,2118367,1615
