US,Confirmed,Deaths,Recovered
0,1,0,0
1,1,0,0
2,2,0,0
3,2,0,0
4,5,0,0
5,5,0,0
6,5,0,0
7,6,0,0
8,6,0,0
9,8,0,0
10,8,0,0
11,8,0,0
12,11,0,0
13,11,0,0
14,11,0,0
15,12,0,0
16,12,0,0
17,12,0,0
18,12,0,3
19,12,0,3
20,13,0,3
21,13,0,3
22,14,0,3
23,14,0,3
24,14,0,3
25,14,0,3
26,14,0,3
27,14,0,3
28,14,0,3
29,14,0,3
30,16,0,5
31,16,0,5
32,16,0,5
33,16,0,5
34,16,0,6
35,16,0,6
36,17,0,6
37,17,0,7
38,25,1,7
39,32,1,7
40,55,6,7
41,74,7,7
42,107,11,7
43,184,12,7
44,237,14,7
45,403,17,7
46,519,21,7
47,594,22,7
48,782,28,8
49,1147,33,8
50,1586,43,12
51,2219,51,12
52,2978,58,12
53,3212,70,12
54,4679,97,17
55,6512,133,17
56,9169,192,105
57,13663,264,121
58,20030,367,147
59,26025,466,176
60,34855,576,178
61,46086,763,178
62,56698,1004,348
63,68773,1330,361
64,86613,1742,681
65,105293,2263,869
66,124900,2898,1072
67,143779,3490,2665
68,165861,4187,5644
69,192177,5278,7024
70,224418,6539,8474
71,256636,8035,9001
72,288906,9442,9707
73,321318,10989,14652
74,351203,12570,17448
75,382613,14326,19581
76,413382,16900,21763
77,444580,19043,23559
78,480534,21249,25410
79,514942,23467,28790
80,544119,25599,31270
81,571400,27419,32988
82,598310,29381,43482
83,627082,31824,47763
84,652513,34422,52096
85,682548,36582,54703
86,715267,38673,58545
87,743223,40646,64840
88,769416,42584,70337
89,799212,44780,72329
90,825046,47318,75204
91,853818,49746,77366
92,887386,52202,80203
93,919658,54362,99079
94,950100,56068,100372
95,976680,57418,106988
96,1000298,58882,111424
97,1024746,61106,115936
98,1051136,63625,120720
99,1080303,66028,153947
100,1115219,67916,164015
101,1142639,69621,175382
102,1167095,70739,180152
103,1191071,72063,187180
104,1215543,74350,189791
105,1240053,76699,189910
106,1267418,78618,195036
107,1294224,80367,198993
108,1319414,81899,212534
109,1338381,82810,216169
110,1357566,83810,232733
111,1380423,85428,230287
112,1400812,87170,243430
113,1427725,88951,246414
114,1452425,90621,250747
115,1476586,91893,268376
116,1495068,92656,272265
117,1517302,93832,283178
118,1538241,95333,289392
119,1560975,96848,294312
120,1586662,98055,298418
121,1610252,99300,350135
122,1631496,100447,361239
123,1651676,101055,366736
124,1670442,101614,379157
125,1689948,102277,384902
126,1708342,103777,391508
127,1730551,104944,399991
128,1755010,106111,406446
129,1778689,107061,416461
130,1797763,107755,444758
131,1815200,108536,458231
132,1836574,109576,463868
133,1856276,110570,479258
134,1877823,111588,485002
135,1903298,112476,491706
136,1924571,113179,500849
137,1942472,113629,506367
138,1959988,114136,518522
139,1978167,115057,524855
140,1999178,115950,533504
141,2022249,116803,540292
142,2046987,117621,547386
143,2072111,118393,556606
144,2091205,118708,561816
145,2110841,119095,576334
146,2134198,119916,583503
147,2160815,120657,592191
148,2188746,121346,599115
149,2219943,122008,606715
150,2252125,122613,617460
151,2277398,122912,622133
152,2308786,123301,640198
153,2344930,124142,647548
154,2379799,124899,656161
155,2419613,125441,663562
156,2465116,126070,670809
157,2506339,126578,679308
158,2546782,126870,685164
159,2587430,127261,705203
160,2633466,127893,720631
161,2684885,128590,729994
162,2741180,129323,781970
163,2792300,129985,790404
164,2838085,130278,894325
165,2889103,130582,906763
166,2932001,130945,924148
167,2992598,132145,936476
168,3052898,133002,953462
169,3115732,134007,969111
170,3183634,134820,983185
171,3244493,135531,995576
172,3303223,135996,1006326
173,3361729,136423,1031939
174,3429909,137351,1049098
175,3498016,138319,1075882
176,3573831,139281,1090645
177,3645631,140200,1107204
178,3708311,141070,1122720
179,3769030,141540,1131121
180,3831042,142084,1160087
181,3895883,143207,1182018
182,3966660,144425,1210849
183,4035508,145522,1233269
184,4108965,146675,1261624
185,4173929,147555,1279414
186,4229038,148076,1297863
187,4285457,149208,1325804
188,4351767,150569,1355363
189,4423579,151991,1389425
190,4491154,153215,1414155
191,4559808,154478,1438160
192,4616173,155574,1461885
193,4662072,155988,1468689
194,4707671,156553,1513446
195,4766269,157910,1528979
196,4820378,159307,1577851
197,4880063,160533,1598624
198,4938879,161766,1623870
199,4993237,162845,1643118
200,5039258,163381,1656864
201,5087714,163934,1670755
202,5134723,164972,1714960
203,5191600,166484,1753760
204,5243559,167543,1774648
205,5309340,168875,1796326
206,5356189,169905,1818527
207,5395917,170482,1833067
208,5432559,170940,1865580
209,5477624,172242,1898159
210,5525038,173561,1925049
211,5569011,174644,1947035
212,5617808,175736,1965056
213,5661223,176706,1985484
214,5695556,177164,1997761
215,5732294,177617,2020774
216,5772490,178832,2053699
217,5817993,180059,2084465
218,5863295,181159,2101326
219,5910369,182123,2118367
220,5953341,183021,2140614
221,5987954,183464,2153939
222,6023278,184003,2184825
223,6064991,185053,2202663
224,6106062,186098,2231757
225,6149924,187156,2266957
226,6200241,188116,2283454
227,6243384,188890,2302187
228,6274848,189303,2315995
229,6298361,189589,2333551
230,6325717,190043,2359111
231,6359483,191200,2387479
232,6395647,192116,2403511
233,6443235,193312,2417878
234,6484355,194031,2434658
235,6518730,194427,2451406
236,6552892,194841,2474570
237,6592297,196127,2495127
238,6630790,197110,2525573
239,6675933,197974,2540334
240,6725107,198892,2556465
241,6767330,199605,2577446
242,6805730,199855,2590671
243,6857506,200282,2615949
244,6897068,201298,2646959
245,6935914,202379,2670256
246,6982729,203303,2710183
247,7030867,204231,2727335
248,7075518,204986,2750459
249,7113208,205277,2766280
250,7146242,205612,2794608
251,7189326,206490,2813305
252,7228579,207436,2840688
253,7274143,208289,2860650
254,7328882,209216,2873369
255,7377587,209903,2897322
256,7413541,210260,2911699
257,7452798,210722,2935142
258,7497735,211424,2952390
259,7548539,212338,2999895
260,7606979,213306,3021252
261,7663125,214264,3039089
262,7718102,214899,3062983
263,7764166,215328,3075077
264,7805844,215680,3106728
265,7857863,216466,3124593
266,7917421,217461,3155794
267,7982109,218274,3177397
268,8051054,219177,3197539
269,8107651,219931,3220573
270,8157134,220377,3234138
271,8224601,220840,3272603
272,8286461,221758,3295148
273,8349546,222920,3323354
274,8425697,223789,3353056
275,8507236,224741,3375427
276,8590089,225683,3406656
277,8652267,226076,3422878
278,8719469,226568,3460455
279,8796055,227531,3487666
280,8875062,228541,3518140
281,8965769,229508,3554336
282,9064689,230539,3578452
283,9154365,231431,3612478
284,9258873,231861,3630579
285,9342931,232397,3674981
286,9469662,233962,3705130
287,9573983,235051,3743527
288,9702514,236193,3781751
