United Kindgom,Confirmed,Deaths,Recovered
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,2,0,0
10,2,0,0
11,2,0,0
12,8,0,0
13,8,0,0
14,9,0,0
15,9,0,0
16,9,0,0
17,13,0,0
18,14,0,0
19,14,0,0
20,15,0,0
21,16,0,1
22,17,0,1
23,18,0,1
24,18,0,1
25,18,0,8
26,19,0,8
27,19,0,8
28,20,0,8
29,22,0,8
30,23,0,8
31,23,0,8
32,28,0,8
33,30,0,8
34,34,0,8
35,37,0,8
36,44,0,8
37,56,0,8
38,61,0,8
39,94,0,8
40,134,0,8
41,189,0,8
42,246,0,8
43,295,0,8
44,374,1,8
45,429,2,18
46,483,2,18
47,630,3,18
48,889,7,19
49,1301,7,19
50,1790,9,19
51,2270,10,19
52,2634,29,19
53,3077,43,19
54,3692,66,21
55,4462,83,53
56,5467,117,67
57,6533,163,67
58,7791,195,67
59,9006,253,67
60,10395,289,67
61,12744,365,67
62,15126,513,140
63,17843,704,140
64,20970,886,150
65,24219,1174,151
66,27062,1466,151
67,29954,1679,151
68,34281,2053,171
69,38815,2457,179
70,43789,3130,179
71,48718,3787,192
72,53699,4524,208
73,57772,5281,215
74,61422,5882,229
75,66738,6452,287
76,72224,7557,325
77,77387,8589,345
78,82293,9706,359
79,86660,10829,588
80,90273,11673,622
81,93812,12330,626
82,98017,13055,304
83,102365,14135,323
84,107465,15019,368
85,112808,16059,375
86,117798,16973,394
87,122534,18081,414
88,126394,18514,436
89,131260,19090,446
90,136035,20314,638
91,141540,21171,683
92,146708,21855,712
93,151689,22873,724
94,155453,23689,774
95,158926,24053,778
96,163630,24376,807
97,168357,25347,813
98,173807,26118,857
99,178771,26754,859
100,183501,27454,892
101,186731,28039,896
102,189708,28292,901
103,193091,28565,910
104,196780,29290,926
105,200616,29937,934
106,204387,30395,970
107,207439,30975,997
108,209589,31250,1001
109,211911,31467,1002
110,215500,31655,1015
111,218895,32270,1023
112,222195,32718,1032
113,224813,33071,1043
114,227334,33422,1047
115,229406,33833,1058
116,231232,33900,1058
117,233809,34046,1090
118,236867,34547,1099
119,239579,34876,1116
120,242133,35149,1134
121,244174,35440,1142
122,245682,35660,1149
123,247037,36039,1151
124,248650,36143,1161
125,250309,36274,1161
126,252118,36696,1166
127,253854,37039,1167
128,255362,37313,1172
129,256469,37467,1187
130,257539,37527,1190
131,258983,37613,1221
132,260453,37863,1224
133,261802,38117,1212
134,263040,38247,1219
135,264150,38505,1228
136,264944,38648,1230
137,265662,38702,1239
138,266756,38749,1255
139,267915,38946,1257
140,269101,39110,1269
141,270108,39186,1278
142,271162,39317,1282
143,272050,39424,1283
144,272857,39451,1283
145,273888,39480,1284
146,274971,39600,1293
147,275970,39710,1304
148,276990,39777,1313
149,277974,39861,1319
150,278640,39932,1319
151,279264,39963,1319
152,280156,39976,1322
153,281038,40070,1330
154,281815,40157,1345
155,282512,40256,1361
156,283151,40333,1363
157,283785,40373,1364
158,284192,40404,1364
159,284812,40425,1368
160,285216,40479,1370
161,285279,40576,1372
162,285285,40617,1373
163,285787,40666,1375
164,286412,40698,1375
165,286931,40717,1375
166,287290,40728,1375
167,287874,40782,1375
168,288511,40839,1378
169,289154,40870,1378
170,289678,40904,1378
171,290504,40921,1378
172,291154,40930,1378
173,291691,40940,1384
174,292931,40984,1385
175,293469,41010,1386
176,294116,41034,1403
177,294803,41060,1403
178,295632,41069,1413
179,296358,41080,1413
180,296944,41090,1413
181,297389,41115,1414
182,297952,41132,1416
183,298731,41141,1425
184,299500,41173,1425
185,300270,41188,1427
186,301020,41196,1434
187,301708,41199,1437
188,302261,41220,1438
